Date,Open (EUR),Open (USD),High (EUR),High (USD),Low (EUR),Low (USD),Close (EUR),Close (USD),Volume,Market Cap (USD)
2023-10-24,30860.91466800,33069.99000000,32923.29600000,35280.00000000,30639.13968800,32832.34000000,31656.69163600,33922.73000000,115265.02418000,115265.02418000
2023-10-23,27988.96367200,29992.46000000,32421.15041200,34741.91000000,27887.37552000,29883.60000000,30860.91466800,33069.99000000,93513.64246000,93513.64246000
2023-10-22,27911.82536000,29909.80000000,28227.43360000,30248.00000000,27660.04800000,29640.00000000,27988.96367200,29992.46000000,22852.54563000,22852.54563000
2023-10-21,27687.15746000,29669.05000000,28350.60666800,30379.99000000,27496.52336400,29464.77000000,27911.82536000,29909.80000000,27517.51897000,27517.51897000
2023-10-20,26795.63417200,28713.71000000,28189.68566000,30207.55000000,26669.26022800,28578.29000000,27687.14812800,29669.04000000,59422.09920000,59422.09920000
2023-10-19,26428.22400000,28320.00000000,26985.24174800,28916.89000000,26223.53591200,28100.66000000,26795.63417200,28713.71000000,35895.50179000,35895.50179000
2023-10-18,26499.06321200,28395.91000000,27046.33835200,28982.36000000,26262.92628400,28142.87000000,26428.22400000,28320.00000000,32162.47591000,32162.47591000
2023-10-17,26596.91856400,28500.77000000,26702.25818000,28613.65000000,26194.28942400,28069.32000000,26499.06321200,28395.91000000,38428.44532000,38428.44532000
2023-10-16,25340.24344800,27154.14000000,27996.00000000,30000.00000000,25301.53431200,27112.66000000,26596.92789600,28500.78000000,78399.22445000,78399.22445000
2023-10-15,25058.73433600,26852.48000000,25470.13555600,27293.33000000,25017.45890000,26808.25000000,25340.25278000,27154.15000000,15274.69170000,15274.69170000
2023-10-14,25067.61840000,26862.00000000,25186.67605600,26989.58000000,24999.49480000,26789.00000000,25058.73433600,26852.48000000,10417.25576000,10417.25576000
2023-10-13,24972.08671600,26759.63000000,25317.71600000,27130.00000000,24902.44200000,26685.00000000,25067.61840000,26862.00000000,24115.76499000,24115.76499000
2023-10-12,25080.23526400,26875.52000000,25146.97772800,26947.04000000,24781.12600000,26555.00000000,24972.08671600,26759.63000000,23428.64112000,23428.64112000
