Date,Open,High,Low,Close
2023-10-24,1.05953,1.06067,1.05668,1.05953
2023-10-23,1.06699,1.06905,1.05842,1.06699
2023-10-22,1.05900,1.06474,1.05718,1.05900
2023-10-19,1.05865,1.06011,1.05658,1.05865
2023-10-18,1.05385,1.05854,1.05289,1.05385
2023-10-17,1.05731,1.05955,1.05271,1.05731
2023-10-16,1.05543,1.05950,1.05334,1.05543
2023-10-15,1.05215,1.05547,1.05164,1.05215
2023-10-12,1.05367,1.05585,1.04961,1.05367
2023-10-11,1.06243,1.06391,1.05460,1.06243
2023-10-10,1.06048,1.06336,1.05928,1.06048
2023-10-09,1.05789,1.06195,1.05560,1.05789
2023-10-08,1.05675,1.05764,1.05214,1.05675
2023-10-05,1.05466,1.05982,1.04839,1.05466
2023-10-04,1.05071,1.05368,1.05009,1.05071
2023-10-03,1.04723,1.05324,1.04537,1.04723
2023-10-02,1.04808,1.04943,1.04499,1.04808
2023-10-01,1.05652,1.05910,1.04927,1.05652
2023-09-28,1.05625,1.06180,1.05585,1.05625
2023-09-27,1.05053,1.05787,1.04919,1.05053
2023-09-26,1.05695,1.05737,1.05091,1.05695
2023-09-25,1.05916,1.06089,1.05681,1.05916
2023-09-24,1.06485,1.06554,1.05773,1.06485
2023-09-21,1.06615,1.06716,1.06153,1.06615
2023-09-20,1.06530,1.06736,1.06191,1.06530
2023-09-19,1.06821,1.07270,1.06758,1.06821
2023-09-18,1.06927,1.07193,1.06763,1.06927
2023-09-17,1.06683,1.06982,1.06563,1.06683
